Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Sh,SoT,SoT%,PK,PKatt,CrdY,CrdR,Fls,Crs,OG,2CrdY,performance_index
Leandro Cabrera,uy URU,DF,Espanyol,es La Liga,34.0,1991.0,25,25,2250,25.0,28,9,32.1,0,0,2,0,21,14,0,0,-0.23005779148920305
Noah Cadiou,gp GLP,MF,Lorient,fr Ligue 1,27.0,1998.0,18,10,979,10.9,8,3,37.5,0,0,0,0,16,3,0,0,-0.34932470916103
Moisés Caicedo,ec ECU,MF,Chelsea,eng Premier League,24.0,2001.0,23,22,1954,21.7,20,7,35.0,0,0,8,1,39,7,0,0,1.1994893887158864
Riccardo Calafiori,it ITA,DF,Arsenal,eng Premier League,23.0,2002.0,20,17,1348,15.0,24,5,20.8,0,0,5,0,25,21,0,0,-0.29090458939520253
Fernando Calero,es ESP,DF,Espanyol,es La Liga,30.0,1995.0,20,18,1582,17.6,9,1,11.1,0,0,3,0,6,1,0,0,-0.642810073145661
Duje Ćaleta-Car,hr CRO,DF,Real Sociedad,es La Liga,29.0,1996.0,17,15,1325,14.7,10,2,20.0,0,0,4,1,20,1,0,0,-0.5256735634624249
Hakan Çalhanoğlu,tr TUR,MF,Inter,it Serie A,32.0,1994.0,18,16,1331,14.8,45,15,33.3,4,5,6,0,21,74,0,0,0.287400459463202
Dominic Calvert-Lewin,eng ENG,FW,Leeds United,eng Premier League,28.0,1997.0,25,20,1845,20.5,52,23,44.2,2,2,1,0,29,7,0,0,0.3168729592262808
Adama Camara,fr FRA,"MF,DF",Paris FC,fr Ligue 1,29.0,1996.0,20,19,1548,17.2,15,4,26.7,0,0,6,0,20,4,0,0,-0.19665204546780765
Mahdi Camara,fr FRA,MF,Rennes,fr Ligue 1,27.0,1998.0,22,21,1772,19.7,16,7,43.8,0,0,4,1,26,24,0,0,0.284079772603086
Ousmane Camara,ml MLI,DF,Angers,fr Ligue 1,22.0,2003.0,23,22,1953,21.7,5,2,40.0,0,0,1,0,14,2,0,0,-0.0485015525315264
Eduardo Camavinga,fr FRA,MF,Real Madrid,es La Liga,23.0,2002.0,19,11,1052,11.7,10,2,20.0,0,0,0,0,24,2,0,0,-0.1623645774410909
Nicolò Cambiaghi,it ITA,MF,Bologna,it Serie A,25.0,2000.0,21,13,1168,13.0,19,6,31.6,0,0,3,1,25,52,0,0,0.5766193209012186
Andrea Cambiaso,it ITA,"MF,DF",Juventus,it Serie A,26.0,2000.0,25,24,1934,21.5,18,9,50.0,0,0,1,1,21,90,2,0,0.24159314237444166
Matteo Cancellieri,it ITA,"FW,MF",Lazio,it Serie A,24.0,2002.0,20,15,1227,13.6,29,8,27.6,0,0,4,0,25,16,0,0,0.40818615728404367
Simone Canestrelli,it ITA,DF,Pisa,it Serie A,25.0,2000.0,26,26,2295,25.5,11,1,9.1,0,0,2,0,29,9,0,0,-0.46229331193738504
Nicolás Capaldo,ar ARG,"DF,MF",Hamburger SV,de Bundesliga,28.0,1997.0,20,19,1540,17.1,16,4,25.0,0,0,6,0,21,18,0,0,0.5346792877666292
Maxence Caqueret,fr FRA,MF,Como,it Serie A,26.0,2000.0,22,13,1114,12.4,13,4,30.8,0,0,1,0,17,28,0,0,0.11063905799396566
Antonio Caracciolo,it ITA,DF,Pisa,it Serie A,35.0,1990.0,24,23,2084,23.2,16,3,18.8,0,0,6,0,26,2,1,0,-0.08754161222969518
Sergi Cardona,es ESP,DF,Villarreal,es La Liga,26.0,1999.0,21,14,1396,15.5,12,3,25.0,0,0,3,0,19,52,0,0,-0.055360182236124045
Igor Carioca,br BRA,DF,Lorient,fr Ligue 1,29.0,1996.0,14,13,1197,13.3,7,1,14.3,0,0,1,0,9,20,0,0,-0.26158270145182777
Diego Carlos,br BRA,DF,Como,it Serie A,32.0,1993.0,18,14,1393,15.5,2,1,50.0,0,0,5,0,24,1,0,0,-0.8058200434348394
David Carmo,ao ANG,DF,Oviedo,es La Liga,26.0,1999.0,19,17,1542,17.1,9,3,33.3,0,0,8,1,20,1,0,1,-0.4441695929264344
Carmona,es ESP,"DF,MF",Sevilla,es La Liga,24.0,2002.0,24,21,1880,20.9,17,3,17.6,0,0,9,0,36,24,0,0,0.5351878029634874
Sergio Carreira,es ESP,MF,Celta Vigo,es La Liga,25.0,2000.0,22,19,1734,19.3,12,5,41.7,0,0,2,0,13,21,0,0,0.08581301032049872
Álvaro Carreras,es ESP,DF,Real Madrid,es La Liga,22.0,2003.0,22,21,1878,20.9,8,2,25.0,0,0,4,1,15,24,0,0,0.4650843539550028
Cesare Casadei,it ITA,MF,Torino,it Serie A,23.0,2003.0,24,16,1590,17.7,28,13,46.4,0,0,5,0,42,2,0,0,-0.22237461716734566
Casemiro,br BRA,MF,Manchester Utd,eng Premier League,34.0,1992.0,26,25,1901,21.1,40,12,30.0,0,0,8,1,34,13,0,1,0.651647849238142
Matty Cash,pl POL,DF,Aston Villa,eng Premier League,28.0,1997.0,26,26,2306,25.6,25,9,36.0,0,0,6,0,35,100,0,0,0.30653133207256716
Josué Casimir,ht HAI,"MF,FW",Auxerre,fr Ligue 1,24.0,2001.0,22,14,1243,13.8,19,9,47.4,0,1,5,1,28,51,0,1,-0.26557116855841034
Cristian Cásseres Jr.,ve VEN,MF,Toulouse,fr Ligue 1,26.0,2000.0,22,20,1805,20.1,20,5,25.0,0,1,5,0,27,84,0,0,0.26482540236704083
Timothy Castagne,be BEL,"DF,MF",Fulham,eng Premier League,30.0,1995.0,21,12,1124,12.5,6,3,50.0,0,0,3,0,13,31,0,0,-0.6378140922335476
Jonny Castro,es ESP,DF,Alavés,es La Liga,31.0,1994.0,25,25,2184,24.3,6,2,33.3,0,0,5,0,27,19,0,0,0.039026893082876705
Santiago Castro,ar ARG,FW,Bologna,it Serie A,21.0,2004.0,23,16,1491,16.6,39,16,41.0,0,0,1,0,24,3,0,0,0.4110788540946261
Danilo Cataldi,it ITA,MF,Lazio,it Serie A,31.0,1994.0,24,21,1798,20.0,25,6,24.0,2,2,5,0,18,41,0,0,0.07320043714599042
Catena,es ESP,DF,Osasuna,es La Liga,31.0,1994.0,24,24,2114,23.5,13,2,15.4,0,0,8,1,35,1,0,0,0.13219860697150515
Zeki Çelik,tr TUR,"MF,DF",Roma,it Serie A,29.0,1997.0,24,22,1925,21.4,18,3,16.7,0,0,1,1,26,59,0,0,-0.14920434538169536
Julian Chabot,de GER,DF,Stuttgart,de Bundesliga,28.0,1998.0,19,18,1610,17.9,14,5,35.7,0,0,2,0,23,1,1,0,-0.11152396977414199
Fares Chaïbi,dz ALG,MF,Eintracht Frankfurt,de Bundesliga,23.0,2002.0,18,15,1205,13.4,18,6,33.3,0,0,1,0,10,58,0,0,0.3407674378201805
Ilyas Chaira,ma MAR,"MF,FW",Oviedo,es La Liga,25.0,2001.0,23,20,1557,17.3,44,19,43.2,0,0,1,1,37,42,0,0,0.11268758825987293
Trevoh Chalobah,eng ENG,DF,Chelsea,eng Premier League,26.0,1999.0,27,27,2370,26.3,13,5,38.5,0,0,3,1,18,5,0,0,0.3465546065219117
